throughput,frame_nr,pkt_nr,n_elements
8,506,77852,17
8,507,77928,128
8,507,77967,128
8,507,78006,10
8,508,78082,128
8,508,78121,128
8,508,78159,9
8,509,78236,128
8,509,78274,128
8,509,78313,7
8,510,78389,128
8,510,78428,128
8,510,78467,11
8,511,78543,128
8,511,78582,128
8,511,78620,16
8,512,78697,128
8,512,78735,128
8,512,78774,13
8,513,78850,128
8,513,78889,128
8,513,78928,12
8,514,79004,128
8,514,79043,128
8,514,79082,7
8,515,79158,128
8,515,79197,128
8,515,79235,9
8,516,79311,128
8,516,79350,128
8,516,79389,12
8,517,79465,128
8,517,79504,128
8,517,79543,13
8,518,79619,128
8,518,79658,128
8,518,79696,4
8,519,79773,128
8,519,79811,128
8,519,79850,10
